ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_138_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_138_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_146_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_146_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_148_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_148_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_159_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_159_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_160_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_160_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_161_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_161_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_162_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_162_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_163_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_163_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_170_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_170_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_171_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,1_151006_AC7JVCANXX_P2254_171_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_138_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_138_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_146_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_146_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_148_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_148_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_159_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_159_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_160_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_160_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_161_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_161_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_162_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_162_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_163_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_163_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_170_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_170_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_171_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,2_151006_AC7JVCANXX_P2254_171_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_138_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S56-2,Spruce ecotype 56 (latitude) - light condition A - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_138_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_146_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-1,Spruce ecotype 67 (latitude) - light condition A - replicate 1,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_146_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_148_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,A-S67-3,Spruce ecotype 67 (latitude) - light condition A - replicate 3,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_148_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_159_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-2,Spruce ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_159_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_160_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-S67-3,Spruce ecotype 67 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_160_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_161_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-1,Spruce ecotype 56 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_161_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_162_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-2,Spruce ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_162_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_163_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S56-3,Spruce ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_163_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_170_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-1,Spruce ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_170_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_171_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-S67-2,Spruce ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,3_151006_AC7JVCANXX_P2254_171_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
