ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Effect of light quality in spruce and pine,B-P56-1,Pine ecotype 56 (latitude) - light condition B - replicate 1,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_113_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P56-1,Pine ecotype 56 (latitude) - light condition B - replicate 1,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_113_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P56-2,Pine ecotype 56 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_114_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P56-2,Pine ecotype 56 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_114_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P56-3,Pine ecotype 56 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_115_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P56-3,Pine ecotype 56 (latitude) - light condition B - replicate 3,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_115_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P67-1,Pine ecotype 67 (latitude) - light condition B - replicate 1,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_122_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P67-1,Pine ecotype 67 (latitude) - light condition B - replicate 1,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_122_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P67-2,Pine ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_123_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,B-P67-2,Pine ecotype 67 (latitude) - light condition B - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_123_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P56-2,Pine ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_126_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P56-2,Pine ecotype 56 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_126_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P56-3,Pine ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_127_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P56-3,Pine ecotype 56 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_127_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P67-1,Pine ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_134_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P67-1,Pine ecotype 67 (latitude) - light condition D - replicate 1,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_134_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P67-2,Pine ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_135_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P67-2,Pine ecotype 67 (latitude) - light condition D - replicate 2,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_135_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P67-3,Pine ecotype 67 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_136_1.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
Effect of light quality in spruce and pine,D-P67-3,Pine ecotype 67 (latitude) - light condition D - replicate 3,2015-10-06T12:00:00,8_151006_AC7JVCANXX_P2254_136_2.fastq.gz,/mnt/picea/storage/data/spruce/rgarcia/spruce-pine-light
